"longitud","latitud"
-6.75,36.25
-6.25,36.25
-5.75,36.25
-5.25,36.25
-4.75,36.25
-4.25,36.25
-3.75,36.25
-3.25,36.25
-2.75,36.25
-2.25,36.25
-6.75,36.75
-6.25,36.75
-5.75,36.75
-5.25,36.75
-4.75,36.75
-4.25,36.75
-3.75,36.75
-3.25,36.75
-2.75,36.75
-2.25,36.75
-6.75,37.25
-6.25,37.25
-5.75,37.25
-5.25,37.25
-4.75,37.25
-4.25,37.25
-3.75,37.25
-3.25,37.25
-2.75,37.25
-2.25,37.25
-6.75,37.75
-6.25,37.75
-5.75,37.75
-5.25,37.75
-4.75,37.75
-4.25,37.75
-3.75,37.75
-3.25,37.75
-2.75,37.75
-2.25,37.75
-6.75,38.25
-6.25,38.25
-5.75,38.25
-5.25,38.25
-4.75,38.25
-4.25,38.25
-3.75,38.25
-3.25,38.25
-2.75,38.25
-2.25,38.25
